suggestion_id,submit_date,raw_text,department,job_group,work_location,scenario,is_anonymous_for_report,status,owner_department,resolution_note,closed_date
S001,2026-06-01,夜班下班太晚食堂没热饭吃,生产一部,生产一线,A厂区一车间,食堂,是,待识别,,,
S002,2026-06-01,晚上食堂饭菜都是凉的，希望加热,生产二部,生产一线,A厂区二车间,食堂,是,待识别,,,
S003,2026-06-02,保安岗亭空调坏了很久没人修,安保部,保安,北门岗亭,设备,是,待识别,,,
S004,2026-06-02,宿舍厕所味道大，卫生没人管,后勤部,保洁,3号宿舍楼,宿舍,是,待识别,,,
S005,2026-06-03,车间粉尘太大，口罩不够用,生产一部,生产一线,A厂区一车间,安全,是,待识别,,,
S006,2026-06-03,能不能把报销流程简单点，每次跑好几个领导签字,财务部,办公室职员,办公楼,流程,是,待识别,,,
S007,2026-06-03,工资条看不明白，希望解释清楚,生产三部,生产一线,B厂区,薪酬,是,待识别,,,
S008,2026-06-04,夜班没热饭，干完活冷饭吃了不舒服,生产一部,生产一线,A厂区一车间,食堂,是,待识别,,,
S009,2026-06-04,领导说话太冲，沟通方式希望改改,生产二部,生产一线,A厂区二车间,管理,是,待识别,,,
S010,2026-06-05,没有,行政部,办公室职员,办公楼,其他,是,待识别,,,
